Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
optimal,5,Predictive,win,trophy,trophy1.jpg,win_trophy,win_trophy_AAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail1.jpg,santa,santa1.jpg,whisle,whisle1.jpg,AAE
optimal,6,Predictive,play,piano,piano2.jpg,play_piano,play_piano_AAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch2.jpg,tractor,tractor2.jpg,crayon,crayon2.jpg,AAE
suboptimal,28,NeutralFiller,hold,football,football1.jpg,hold_football,hold_football_GAE.mp3,,,,,pickle,pickle4.jpg,whistle,whistle3.jpg,costume,costume1.jpg,GAE
suboptimal,38,Filler,find,bell,bell1.jpg,find_bell,find_bell_GAE.mp3,,,,,truck,truck2.jpg,book,book2.jpg,juice,juice4.jpg,GAE
optimal,49,Filler,choose,grapes,grapes3.jpg,choose_grapes,choose_grapes_AAE.mp3,,,,,bag,bag1.jpg,car,car4.jpg,dress,dress3.jpg,AAE
intermediate,39,Filler,find,dress,dress2.jpg,find_dress,find_dress_GAE.mp3,,,,,tractor,tractor3.jpg,milk,milk3.jpg,ball,ball2.jpg,GAE
suboptimal,3,Predictive,pour ,juice,juice1.jpg,pour _juice,pour _juice_GAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck1.jpg,book,book4.jpg,bell,bell3.jpg,GAE
intermediate,40,Filler,buy,crayon,crayon1.jpg,buy_crayon,buy_crayon_GAE.mp3,,,,,couch,couch3.jpg,piano,piano1.jpg,tractor,tractor4.jpg,GAE
intermediate,23,NeutralFiller,buy,trophy,trophy3.jpg,buy_trophy,buy_trophy_GAE.mp3,,,,,mail,mail3.jpg,santa,santa2.jpg,whistle,whistle1.jpg,GAE
optimal,32,NeutralFiller,find ,dog,dog4.jpg,find _dog,find _dog_AAE.mp3,,,,,can,can1.jpg,milk,milk2.jpg,truck,truck3.jpg,AAE
optimal,4,Predictive,drink ,milk,milk1.jpg,drink _milk,drink _milk_AAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor3.jpg,ball,ball3.jpg,dress,dress4.jpg,AAE
suboptimal,2,Predictive,climb,tree,tree4.jpg,climb_tree,climb_tree_GAE.mp3,touch_tree,touch_tree.mp3,buy_shirt,buy_shirt.mp3,jewel,jewel3.jpg,doll,doll1.jpg,juice,juice2.jpg,GAE
optimal,42,Filler,choose,scissors,scissors1.jpg,choose_scissors,choose_scissors_AAE.mp3,,,,,bush,bush4.jpg,sandwich,sandwich1.jpg,jewel,jewel4.jpg,AAE
suboptimal,1,Predictive,toast,bread,bread3.jpg,toast_bread,toast_bread_GAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 1.jpg,shirt,shirt1.jpg,couch,couch4.jpg,GAE
intermediate,4,Predictive,drink ,milk,milk4.jpg,drink _milk,drink _milk_GAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor2.jpg,ball,ball4.jpg,dress,dress3.jpg,GAE
intermediate,45,Filler,choose,santa,santa3.jpg,choose_santa,choose_santa_GAE.mp3,,,,,mail,mail2.jpg,whistle,whistle2.jpg,trophy,trophy4.jpg,GAE
suboptimal,53,Filler,buy,plant,plant3.jpg,buy_plant,buy_plant_GAE.mp3,,,,,box,box1.jpg,ball,ball3.jpg,cat,cat1.jpg,GAE
suboptimal,48,Filler,find,footprint,footprint3.jpg,find_footprint,find_footprint_GAE.mp3,,,,,doll,doll3.jpg,cookies,cookies4.jpg,trophy,trophy2.jpg,GAE
intermediate,15,Predictive,ride,bike,bike4.jpg,ride_bike,ride_bike_GAE.mp3,find_bike,find_bike.mp3,get_can,get_can.mp3,costume,costume4.jpg,can,can3.jpg,kite,kite3.jpg,GAE
suboptimal,17,Predictive,pet,cat,cat3.jpg,pet_cat,pet_cat_GAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box4.jpg,plant,plant1.jpg,ball,ball1.jpg,GAE
suboptimal,10,Predictive,throw,football,football2.jpg,throw_football,throw_football_GAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle1.jpg,whistle,whistle4.jpg,costume,costume2.jpg,GAE
intermediate,42,Filler,choose,scissors,scissors3.jpg,choose_scissors,choose_scissors_GAE.mp3,,,,,bush,bush2.jpg,sandwich,sandwich4.jpg,jewel,jewel3.jpg,GAE
optimal,13,Predictive,drive,car,car2.jpg,drive_car,drive_car_AAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag2.jpg,grapes,grapes4.jpg,dress,dress2.jpg,AAE
intermediate,5,Predictive,win,trophy,trophy4.jpg,win_trophy,win_trophy_GAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail4.jpg,santa,santa4.jpg,whisle,whisle4.jpg,GAE
optimal,48,Filler,find,footprint,footprint1.jpg,find_footprint,find_footprint_AAE.mp3,,,,,doll,doll4.jpg,cookies,cookies2.jpg,trophy,trophy3.jpg,AAE
suboptimal,7,Predictive,fly,kite,kite1.jpg,fly_kite,fly_kite_GAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut2.jpg,bush,bush3.jpg,shoes,shoes1.jpg,GAE
optimal,0,Predictive,blow,horn,horn4.jpg,blow_horn,blow_horn_AAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush2.jpg,chair,chair2.jpg,bread,bread1.jpg,AAE
intermediate,6,Predictive,play,piano,piano3.jpg,play_piano,play_piano_GAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch1.jpg,tractor,tractor1.jpg,crayon,crayon4.jpg,GAE
suboptimal,19,NeutralFiller,buy,bread,bread2.jpg,buy_bread,buy_bread_GAE.mp3,,,,,horse ,horse 3.jpg,shirt,shirt4.jpg,couch,couch2.jpg,GAE
intermediate,2,Predictive,climb,tree,tree2.jpg,climb_tree,climb_tree_GAE.mp3,touch_tree,touch_tree.mp3,buy_shirt,buy_shirt.mp3,jewel,jewel2.jpg,doll,doll2.jpg,juice,juice3.jpg,GAE
optimal,40,Filler,buy,crayon,crayon3.jpg,buy_crayon,buy_crayon_AAE.mp3,,,,,couch,couch4.jpg,piano,piano2.jpg,tractor,tractor3.jpg,AAE
suboptimal,16,Predictive,kick,ball,ball2.jpg,kick_ball,kick_ball_GAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart3.jpg,cat,cat2.jpg,mail,mail3.jpg,GAE
optimal,14,Predictive,walk,dog,dog1.jpg,walk_dog,walk_dog_AAE.mp3,find_dog,find_dog.mp3,buy_truck,buy_truck.mp3,can,can4.jpg,milk,milk1.jpg,truck,truck4.jpg,AAE
optimal,52,Filler,find,mail,mail1.jpg,find_mail,find_mail_AAE.mp3,,,,,cart,cart4.jpg,cat,cat3.jpg,ball,ball3.jpg,AAE
suboptimal,11,Predictive,draw,picture,picture2.jpg,draw_picture,draw_picture_GAE.mp3,find_picture,find_picture.mp3,find_mittens,find_mittens.mp3,footprint,footprint3.jpg,cookies,cookies1.jpg,mittens,mittens4.jpg,GAE
intermediate,0,Predictive,blow,horn,horn1.jpg,blow_horn,blow_horn_GAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush1.jpg,chair,chair4.jpg,bread,bread4.jpg,GAE
optimal,12,Predictive,bake,cookies,cookies3.jpg,bake_cookies,bake_cookies_AAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll1.jpg,footprint,footprint1.jpg,trophy,trophy1.jpg,AAE
suboptimal,15,Predictive,ride,bike,bike2.jpg,ride_bike,ride_bike_GAE.mp3,find_bike,find_bike.mp3,get_can,get_can.mp3,costume,costume3.jpg,can,can2.jpg,kite,kite2.jpg,GAE
intermediate,31,NeutralFiller,buy,car,car1.jpg,buy_car,buy_car_GAE.mp3,,,,,bag,bag4.jpg,grapes,grapes1.jpg,dress,dress1.jpg,GAE
optimal,36,Filler,choose,chair,chair3.jpg,choose_chair,choose_chair_AAE.mp3,,,,,brush,brush3.jpg,horn,horn2.jpg,bread,bread3.jpg,AAE
intermediate,53,Filler,buy,plant,plant2.jpg,buy_plant,buy_plant_GAE.mp3,,,,,box,box3.jpg,ball,ball1.jpg,cat,cat4.jpg,GAE
intermediate,9,Predictive,eat,sandwich,sandwich3.jpg,eat_sandwich,eat_sandwich_GAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush2.jpg,jewel,jewel1.jpg,scissors,scissors4.jpg,GAE
optimal,8,Predictive,read,book,book3.jpg,read_book,read_book_AAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa1.jpg,ring,ring4.jpg,horse,horse1.jpg,AAE
suboptimal,43,Filler,find,mittens,mittens2.jpg,find_mittens,find_mittens_GAE.mp3,,,,,footprint,footprint4.jpg,picture,picture4.jpg,cookies,cookies4.jpg,GAE
