Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
intermediate,49,Filler,choose,grapes,grapes4.jpg,choose_grapes,choose_grapes_GAE.mp3,,,,,bag,bag1.jpg,car,car4.jpg,dress,dress1.jpg,GAE
suboptimal,22,NeutralFiller,find,milk,milk3.jpg,find_milk,find_milk_GAE.mp3,,,,,tractor,tractor1.jpg,ball,ball4.jpg,dress,dress2.jpg,GAE
suboptimal,47,Filler,buy,whistle,whistle2.jpg,buy_whistle,buy_whistle_GAE.mp3,,,,,pickle,pickle3.jpg,footprint,footprint3.jpg,costume,costume3.jpg,GAE
intermediate,9,Predictive,eat,sandwich,sandwich2.jpg,eat_sandwich,eat_sandwich_GAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush3.jpg,jewel,jewel2.jpg,scissors,scissors2.jpg,GAE
optimal,44,Filler,find,doll,doll2.jpg,find_doll,find_doll_AAE.mp3,,,,,jewel,jewel4.jpg,juice,juice4.jpg,tree,tree3.jpg,AAE
suboptimal,39,Filler,find,dress,dress4.jpg,find_dress,find_dress_GAE.mp3,,,,,tractor,tractor2.jpg,milk,milk2.jpg,ball,ball1.jpg,GAE
intermediate,11,Predictive,draw,picture,picture1.jpg,draw_picture,draw_picture_GAE.mp3,find_picture,find_picture.mp3,find_mittens,find_mittens.mp3,footprint,footprint1.jpg,cookies,cookies3.jpg,mittens,mittens3.jpg,GAE
suboptimal,48,Filler,find,footprint,footprint3.jpg,find_footprint,find_footprint_GAE.mp3,,,,,doll,doll3.jpg,cookies,cookies1.jpg,trophy,trophy1.jpg,GAE
suboptimal,10,Predictive,throw,football,football4.jpg,throw_football,throw_football_GAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle1.jpg,whistle,whistle4.jpg,costume,costume4.jpg,GAE
optimal,39,Filler,find,dress,dress3.jpg,find_dress,find_dress_AAE.mp3,,,,,tractor,tractor3.jpg,milk,milk1.jpg,ball,ball2.jpg,AAE
intermediate,42,Filler,choose,scissors,scissors3.jpg,choose_scissors,choose_scissors_GAE.mp3,,,,,bush,bush1.jpg,sandwich,sandwich3.jpg,jewel,jewel1.jpg,GAE
intermediate,28,NeutralFiller,hold,football,football3.jpg,hold_football,hold_football_GAE.mp3,,,,,pickle,pickle4.jpg,whistle,whistle3.jpg,costume,costume2.jpg,GAE
optimal,17,Predictive,pet,cat,cat3.jpg,pet_cat,pet_cat_AAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box1.jpg,plant,plant2.jpg,ball,ball1.jpg,AAE
optimal,40,Filler,buy,crayon,crayon1.jpg,buy_crayon,buy_crayon_AAE.mp3,,,,,couch,couch3.jpg,piano,piano1.jpg,tractor,tractor2.jpg,AAE
intermediate,3,Predictive,pour ,juice,juice3.jpg,pour _juice,pour _juice_GAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck2.jpg,book,book3.jpg,bell,bell2.jpg,GAE
suboptimal,37,Filler,buy,shirt,shirt1.jpg,buy_shirt,buy_shirt_GAE.mp3,,,,,horse ,horse 3.jpg,bread,bread4.jpg,couch,couch4.jpg,GAE
suboptimal,45,Filler,choose,santa,santa3.jpg,choose_santa,choose_santa_GAE.mp3,,,,,mail,mail2.jpg,whistle,whistle2.jpg,trophy,trophy4.jpg,GAE
intermediate,4,Predictive,drink ,milk,milk3.jpg,drink _milk,drink _milk_GAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor4.jpg,ball,ball2.jpg,dress,dress2.jpg,GAE
optimal,53,Filler,buy,plant,plant1.jpg,buy_plant,buy_plant_AAE.mp3,,,,,box,box3.jpg,ball,ball3.jpg,cat,cat1.jpg,AAE
suboptimal,23,NeutralFiller,buy,trophy,trophy3.jpg,buy_trophy,buy_trophy_GAE.mp3,,,,,mail,mail3.jpg,santa,santa2.jpg,whistle,whistle1.jpg,GAE
optimal,13,Predictive,drive,car,car3.jpg,drive_car,drive_car_AAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag4.jpg,grapes,grapes1.jpg,dress,dress1.jpg,AAE
suboptimal,11,Predictive,draw,picture,picture3.jpg,draw_picture,draw_picture_GAE.mp3,find_picture,find_picture.mp3,find_mittens,find_mittens.mp3,footprint,footprint1.jpg,cookies,cookies2.jpg,mittens,mittens4.jpg,GAE
intermediate,19,NeutralFiller,buy,bread,bread1.jpg,buy_bread,buy_bread_GAE.mp3,,,,,horse ,horse 4.jpg,shirt,shirt4.jpg,couch,couch2.jpg,GAE
suboptimal,16,Predictive,kick,ball,ball4.jpg,kick_ball,kick_ball_GAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart2.jpg,cat,cat4.jpg,mail,mail4.jpg,GAE
optimal,7,Predictive,fly,kite,kite2.jpg,fly_kite,fly_kite_AAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut2.jpg,bush,bush2.jpg,shoes,shoes1.jpg,AAE
optimal,36,Filler,choose,chair,chair1.jpg,choose_chair,choose_chair_AAE.mp3,,,,,brush,brush2.jpg,horn,horn4.jpg,bread,bread4.jpg,AAE
intermediate,39,Filler,find,dress,dress3.jpg,find_dress,find_dress_GAE.mp3,,,,,tractor,tractor3.jpg,milk,milk2.jpg,ball,ball3.jpg,GAE
suboptimal,1,Predictive,toast,bread,bread1.jpg,toast_bread,toast_bread_GAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 2.jpg,shirt,shirt2.jpg,couch,couch1.jpg,GAE
suboptimal,4,Predictive,drink ,milk,milk4.jpg,drink _milk,drink _milk_GAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor1.jpg,ball,ball2.jpg,dress,dress1.jpg,GAE
