Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
intermediate,2,Predictive,climb,tree,tree3.jpg,climb_tree,climb_tree_AAE.mp3,touch_tree,touch_tree.mp3,buy_shirt,buy_shirt.mp3,jewel,jewel2.jpg,doll,doll3.jpg,juice,juice3.jpg,AAE
intermediate,13,Predictive,drive,car,car4.jpg,drive_car,drive_car_AAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag1.jpg,grapes,grapes4.jpg,dress,dress2.jpg,AAE
optimal,12,Predictive,bake,cookies,cookies4.jpg,bake_cookies,bake_cookies_GAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll2.jpg,footprint,footprint3.jpg,trophy,trophy4.jpg,GAE
suboptimal,51,Filler,get,can,can4.jpg,get_can,get_can_AAE.mp3,,,,,costume,costume2.jpg,kite,kite2.jpg,bike,bike2.jpg,AAE
suboptimal,11,Predictive,draw,picture,picture4.jpg,draw_picture,draw_picture_AAE.mp3,find_picture,find_picture.mp3,find_mittens,find_mittens.mp3,footprint,footprint1.jpg,cookies,cookies3.jpg,mittens,mittens4.jpg,AAE
intermediate,49,Filler,choose,grapes,grapes2.jpg,choose_grapes,choose_grapes_AAE.mp3,,,,,bag,bag3.jpg,car,car1.jpg,dress,dress1.jpg,AAE
optimal,28,NeutralFiller,hold,football,football2.jpg,hold_football,hold_football_GAE.mp3,,,,,pickle,pickle2.jpg,whistle,whistle3.jpg,costume,costume3.jpg,GAE
optimal,48,Filler,find,footprint,footprint2.jpg,find_footprint,find_footprint_GAE.mp3,,,,,doll,doll4.jpg,cookies,cookies1.jpg,trophy,trophy3.jpg,GAE
intermediate,37,Filler,buy,shirt,shirt4.jpg,buy_shirt,buy_shirt_AAE.mp3,,,,,horse ,horse 4.jpg,bread,bread4.jpg,couch,couch1.jpg,AAE
intermediate,48,Filler,find,footprint,footprint4.jpg,find_footprint,find_footprint_AAE.mp3,,,,,doll,doll2.jpg,cookies,cookies2.jpg,trophy,trophy2.jpg,AAE
optimal,3,Predictive,pour ,juice,juice2.jpg,pour _juice,pour _juice_GAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck2.jpg,book,book2.jpg,bell,bell2.jpg,GAE
intermediate,24,NeutralFiller,buy ,piano,piano1.jpg,buy _piano,buy _piano_AAE.mp3,,,,,couch,couch3.jpg,tractor,tractor3.jpg,crayon,crayon4.jpg,AAE
suboptimal,15,Predictive,ride,bike,bike3.jpg,ride_bike,ride_bike_AAE.mp3,find_bike,find_bike.mp3,get_can,get_can.mp3,costume,costume1.jpg,can,can2.jpg,kite,kite4.jpg,AAE
optimal,13,Predictive,drive,car,car2.jpg,drive_car,drive_car_GAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag2.jpg,grapes,grapes1.jpg,dress,dress3.jpg,GAE
optimal,14,Predictive,walk,dog,dog2.jpg,walk_dog,walk_dog_GAE.mp3,find_dog,find_dog.mp3,buy_truck,buy_truck.mp3,can,can3.jpg,milk,milk3.jpg,truck,truck3.jpg,GAE
intermediate,38,Filler,find,bell,bell3.jpg,find_bell,find_bell_AAE.mp3,,,,,truck,truck1.jpg,book,book3.jpg,juice,juice4.jpg,AAE
optimal,23,NeutralFiller,buy,trophy,trophy1.jpg,buy_trophy,buy_trophy_GAE.mp3,,,,,mail,mail3.jpg,santa,santa2.jpg,whistle,whistle2.jpg,GAE
intermediate,16,Predictive,kick,ball,ball4.jpg,kick_ball,kick_ball_AAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart1.jpg,cat,cat2.jpg,mail,mail1.jpg,AAE
suboptimal,37,Filler,buy,shirt,shirt3.jpg,buy_shirt,buy_shirt_AAE.mp3,,,,,horse ,horse 3.jpg,bread,bread3.jpg,couch,couch2.jpg,AAE
intermediate,0,Predictive,blow,horn,horn1.jpg,blow_horn,blow_horn_AAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush1.jpg,chair,chair4.jpg,bread,bread1.jpg,AAE
optimal,7,Predictive,fly,kite,kite1.jpg,fly_kite,fly_kite_GAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut4.jpg,bush,bush1.jpg,shoes,shoes3.jpg,GAE
suboptimal,48,Filler,find,footprint,footprint2.jpg,find_footprint,find_footprint_AAE.mp3,,,,,doll,doll1.jpg,cookies,cookies3.jpg,trophy,trophy4.jpg,AAE
suboptimal,42,Filler,choose,scissors,scissors3.jpg,choose_scissors,choose_scissors_AAE.mp3,,,,,bush,bush2.jpg,sandwich,sandwich2.jpg,jewel,jewel4.jpg,AAE
optimal,50,Filler,buy,truck,truck3.jpg,buy_truck,buy_truck_GAE.mp3,,,,,can,can1.jpg,milk,milk1.jpg,dog,dog1.jpg,GAE
suboptimal,36,Filler,choose,chair,chair2.jpg,choose_chair,choose_chair_AAE.mp3,,,,,brush,brush3.jpg,horn,horn3.jpg,bread,bread4.jpg,AAE
optimal,5,Predictive,win,trophy,trophy3.jpg,win_trophy,win_trophy_GAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail2.jpg,santa,santa3.jpg,whisle,whisle4.jpg,GAE
intermediate,31,NeutralFiller,buy,car,car3.jpg,buy_car,buy_car_AAE.mp3,,,,,bag,bag4.jpg,grapes,grapes3.jpg,dress,dress2.jpg,AAE
intermediate,34,NeutralFiller,buy,ball,ball1.jpg,buy_ball,buy_ball_AAE.mp3,,,,,cart,cart2.jpg,cat,cat3.jpg,mail,mail3.jpg,AAE
suboptimal,44,Filler,find,doll,doll3.jpg,find_doll,find_doll_AAE.mp3,,,,,jewel,jewel3.jpg,juice,juice3.jpg,tree,tree2.jpg,AAE
suboptimal,17,Predictive,pet,cat,cat2.jpg,pet_cat,pet_cat_AAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box3.jpg,plant,plant2.jpg,ball,ball3.jpg,AAE
intermediate,12,Predictive,bake,cookies,cookies1.jpg,bake_cookies,bake_cookies_AAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll4.jpg,footprint,footprint4.jpg,trophy,trophy2.jpg,AAE
suboptimal,1,Predictive,toast,bread,bread1.jpg,toast_bread,toast_bread_AAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 1.jpg,shirt,shirt1.jpg,couch,couch3.jpg,AAE
optimal,25,NeutralFiller,buy,kite,kite3.jpg,buy_kite,buy_kite_GAE.mp3,,,,,peanut,peanut3.jpg,bush,bush4.jpg,shoes,shoes4.jpg,GAE
suboptimal,22,NeutralFiller,find,milk,milk2.jpg,find_milk,find_milk_AAE.mp3,,,,,tractor,tractor4.jpg,ball,ball2.jpg,dress,dress3.jpg,AAE
suboptimal,9,Predictive,eat,sandwich,sandwich3.jpg,eat_sandwich,eat_sandwich_AAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush3.jpg,jewel,jewel1.jpg,scissors,scissors4.jpg,AAE
intermediate,39,Filler,find,dress,dress1.jpg,find_dress,find_dress_AAE.mp3,,,,,tractor,tractor2.jpg,milk,milk3.jpg,ball,ball4.jpg,AAE
optimal,44,Filler,find,doll,doll3.jpg,find_doll,find_doll_GAE.mp3,,,,,jewel,jewel4.jpg,juice,juice1.jpg,tree,tree3.jpg,GAE
optimal,6,Predictive,play,piano,piano3.jpg,play_piano,play_piano_GAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch1.jpg,tractor,tractor1.jpg,crayon,crayon2.jpg,GAE
suboptimal,35,NeutralFiller,choose,cat,cat1.jpg,choose_cat,choose_cat_AAE.mp3,,,,,box,box2.jpg,plant,plant4.jpg,ball,ball2.jpg,AAE
intermediate,10,Predictive,throw,football,football3.jpg,throw_football,throw_football_AAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle4.jpg,whistle,whistle1.jpg,costume,costume4.jpg,AAE
suboptimal,27,NeutralFiller,buy,sandwich,sandwich1.jpg,buy_sandwich,buy_sandwich_AAE.mp3,,,,,bush,bush2.jpg,jewel,jewel2.jpg,scissors,scissors1.jpg,AAE
optimal,41,Filler,choose,shoes,shoes1.jpg,choose_shoes,choose_shoes_GAE.mp3,,,,,peanut,peanut2.jpg,kite,kite1.jpg,bush,bush4.jpg,GAE
optimal,10,Predictive,throw,football,football1.jpg,throw_football,throw_football_GAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle1.jpg,whistle,whistle4.jpg,costume,costume3.jpg,GAE
suboptimal,0,Predictive,blow,horn,horn4.jpg,blow_horn,blow_horn_AAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush2.jpg,chair,chair1.jpg,bread,bread3.jpg,AAE
